genre,genre_achievements_mean
"Adventure,RPG,Action,Indie",NA
"Adventure,RPG,Action,Indie,Strategy",NA
"Adventure,RPG,Action,Strategy",NA
"Adventure,RPG,Early Access",25.5
"Adventure,RPG,Indie",NA
"Adventure,RPG,Sexual Content",NA
"Adventure,RPG,Simulation",15.6
"Adventure,RPG,Simulation,Strategy",59
"Adventure,RPG,Simulation,Strategy,Action",NA
"Adventure,RPG,Strategy",49.3125
"Adventure,RPG,Strategy,Early Access",NA
"Adventure,Simulation",18.9
"Adventure,Simulation,Early Access",10
"Adventure,Simulation,Sports",62
"Adventure,Simulation,Strategy",27.666666666666668
"Adventure,Simulation,Strategy,Early Access",6
"Adventure,Simulation,Strategy,Indie",NA
"Adventure,Sports",NA
"Adventure,Strategy",32.84615384615385
"Adventure,Strategy,Early Access",NA
"Adventure,Strategy,Indie",NA
"Adventure,Strategy,RPG,Indie",NA
"Adventure,Violent",NA
"Adventure,Violent,Gore",NA
Animation & Modeling,NA
"Animation & Modeling,Audio Production,Design & Illustration,Education,Early Access",NA
"Animation & Modeling,Audio Production,Design & Illustration,Utilities,Early Access",NA
"Animation & Modeling,Audio Production,Design & Illustration,Utilities,Video Production",NA
"Animation & Modeling,Audio Production,Design & Illustration,Utilities,Video Production,Web Publishing",NA
"Animation & Modeling,Audio Production,Utilities",NA
"Animation & Modeling,Audio Production,Utilities,Video Production",NA
"Animation & Modeling,Audio Production,Video Production",NA
"Animation & Modeling,Design & Illustration",NA
"Animation & Modeling,Design & Illustration,Early Access",NA
"Animation & Modeling,Design & Illustration,Education",30
"Animation & Modeling,Design & Illustration,Education,Early Access",NA
"Animation & Modeling,Design & Illustration,Education,Photo Editing,Software Training,Video Production",NA
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities",3
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Early Access",NA
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Game Development",NA
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Game Development,Action,Adventure",NA
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Game Development,Action,Adventure,Indie,Simulation",NA
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Game Development,Action,Adventure,Web Publishing",NA
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Game Development,Action,Indie,Simulation,Adventure",NA
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Video Production,Web Publishing,Game Development",11
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Web Publishing",NA
"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Web Publishing,Game Development",NA
"Animation & Modeling,Design & Illustration,Education,Software Training,Video Production,Web Publishing",NA
"Animation & Modeling,Design & Illustration,Education,Utilities",NA
"Animation & Modeling,Design & Illustration,Education,Utilities,Early Access",NA
"Animation & Modeling,Design & Illustration,Education,Video Production,Game Development,Early Access",NA
"Animation & Modeling,Design & Illustration,Game Development",NA
"Animation & Modeling,Design & Illustration,Game Development,Early Access",NA
"Animation & Modeling,Design & Illustration,Photo Editing",NA
"Animation & Modeling,Design & Illustration,Photo Editing,Software Training,Utilities,Video Production,Education",NA
"Animation & Modeling,Design & Illustration,Photo Editing,Utilities",10
"Animation & Modeling,Design & Illustration,Photo Editing,Utilities,Video Production,Web Publishing,Game Development",NA
"Animation & Modeling,Design & Illustration,Photo Editing,Video Production",NA
"Animation & Modeling,Design & Illustration,Utilities",17.5
"Animation & Modeling,Design & Illustration,Utilities,Early Access",NA
"Animation & Modeling,Design & Illustration,Utilities,Game Development",NA
"Animation & Modeling,Design & Illustration,Utilities,Video Production",16
"Animation & Modeling,Design & Illustration,Utilities,Video Production,Early Access",NA
"Animation & Modeling,Design & Illustration,Utilities,Web Publishing",NA
"Animation & Modeling,Design & Illustration,Utilities,Web Publishing,Early Access",NA
"Animation & Modeling,Design & Illustration,Video Production",NA
"Animation & Modeling,Design & Illustration,Web Publishing",14
"Animation & Modeling,Early Access",NA
"Animation & Modeling,Education",NA
"Animation & Modeling,Education,Early Access",NA
"Animation & Modeling,Education,Software Training,Utilities",NA
"Animation & Modeling,Education,Utilities,Video Production,Early Access",NA
"Animation & Modeling,Education,Utilities,Web Publishing",NA
"Animation & Modeling,Game Development",NA
"Animation & Modeling,Software Training,Utilities,Early Access",NA
"Animation & Modeling,Utilities",NA
"Animation & Modeling,Utilities,Design & Illustration,Photo Editing",NA
"Animation & Modeling,Utilities,Early Access",NA
"Animation & Modeling,Utilities,Video Production",NA
"Animation & Modeling,Video Production",38
"Animation & Modeling,Video Production,Early Access",NA
"Animation & Modeling,Video Production,Game Development",NA
"Animation & Modeling,Web Publishing,Design & Illustration",NA
Audio Production,11
"Audio Production,Design & Illustration,Utilities,Video Production",NA
"Audio Production,Design & Illustration,Utilities,Video Production,Animation & Modeling",NA
"Audio Production,Design & Illustration,Utilities,Video Production,Web Publishing",NA
"Audio Production,Design & Illustration,Utilities,Video Production,Web Publishing,Animation & Modeling",NA
"Audio Production,Design & Illustration,Utilities,Video Production,Web Publishing,Photo Editing",NA
"Audio Production,Early Access",NA
"Audio Production,Education",NA
"Audio Production,Education,Software Training,Utilities,Early Access",NA
"Audio Production,Education,Software Training,Video Production,Web Publishing",NA
"Audio Production,Education,Utilities,Early Access",NA
"Audio Production,Education,Utilities,Video Production",NA
"Audio Production,Software Training,Utilities,Video Production",10
"Audio Production,Software Training,Utilities,Video Production,Animation & Modeling",NA
"Audio Production,Software Training,Utilities,Video Production,Web Publishing",NA
"Audio Production,Utilities",8.666666666666666
"Audio Production,Utilities,Early Access",2
"Audio Production,Utilities,Indie",NA
"Audio Production,Utilities,Video Production",NA
"Audio Production,Utilities,Video Production,Design & Illustration",NA
"Audio Production,Utilities,Video Production,Design & Illustration,Photo Editing",NA
"Audio Production,Utilities,Video Production,Early Access",NA
"Audio Production,Video Production",NA
"Audio Production,Video Production,Utilities",NA
Casual,174.5808823529412
"Casual,Action,Indie,Simulation,Sports,Strategy",NA
"Casual,Adventure",NA
"Casual,Adventure,Simulation",NA
"Casual,Animation & Modeling,Design & Illustration",3
"Casual,Animation & Modeling,Video Production",NA
"Casual,Early Access",13.666666666666666
"Casual,Early Access,Indie,Simulation,Strategy",NA
"Casual,Free to Play",47.57142857142857
"Casual,Free to Play,Early Access",NA
"Casual,Free to Play,Indie",179.37209302325581
"Casual,Free to Play,Indie,Accounting,Animation & Modeling,Audio Production,Design & Illustration,Education,Photo Editing,Software Training,Utilities,Video Production,Web Publishing",NA
"Casual,Free to Play,Indie,Early Access",27
"Casual,Free to Play,Indie,Massively Multiplayer,RPG",32
"Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation",191
"Casual,Free to Play,Indie,Massively Multiplayer,RPG,Strategy",NA
"Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Early Access",NA
"Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Sports",NA
"Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Sports,Strategy",38
"Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Strategy",NA
"Casual,Free to Play,Indie,Massively Multiplayer,Strategy",27.5
"Casual,Free to Play,Indie,Massively Multiplayer,Strategy,Simulation",NA
"Casual,Free to Play,Indie,Racing",NA
"Casual,Free to Play,Indie,Racing,Early Access",6
"Casual,Free to Play,Indie,Racing,Simulation",13
"Casual,Free to Play,Indie,Racing,Simulation,Early Access",NA
"Casual,Free to Play,Indie,Racing,Simulation,Sports,Strategy",NA
"Casual,Free to Play,Indie,Racing,Sports",NA
"Casual,Free to Play,Indie,Racing,Strategy",26
"Casual,Free to Play,Indie,RPG",9.4
"Casual,Free to Play,Indie,RPG,Simulation",50
"Casual,Free to Play,Indie,RPG,Simulation,Strategy",2
"Casual,Free to Play,Indie,RPG,Simulation,Strategy,Early Access",104
"Casual,Free to Play,Indie,RPG,Strategy",NA
"Casual,Free to Play,Indie,RPG,Strategy,Early Access",16
"Casual,Free to Play,Indie,Simulation",36.22222222222222
"Casual,Free to Play,Indie,Simulation,Adventure",NA
"Casual,Free to Play,Indie,Simulation,Early Access",14
"Casual,Free to Play,Indie,Simulation,Sports",43.5
"Casual,Free to Play,Indie,Simulation,Sports,Early Access",NA
"Casual,Free to Play,Indie,Simulation,Sports,Strategy",38
"Casual,Free to Play,Indie,Simulation,Sports,Strategy,Action,Adventure",NA
"Casual,Free to Play,Indie,Simulation,Sports,Strategy,Adventure,Action",NA
"Casual,Free to Play,Indie,Simulation,Strategy",218.66666666666666
"Casual,Free to Play,Indie,Simulation,Strategy,Early Access",NA
"Casual,Free to Play,Indie,Sports",108
"Casual,Free to Play,Indie,Strategy",53.5
"Casual,Free to Play,Indie,Strategy,Early Access",27.5
"Casual,Free to Play,Massively Multiplayer",NA
"Casual,Free to Play,Massively Multiplayer,Early Access",NA
"Casual,Free to Play,Massively Multiplayer,Education",NA
"Casual,Free to Play,Massively Multiplayer,RPG",NA
"Casual,Free to Play,Massively Multiplayer,RPG,Early Access",NA
"Casual,Free to Play,Massively Multiplayer,RPG,Simulation,Strategy",NA
"Casual,Free to Play,Massively Multiplayer,RPG,Sports,Early Access",NA
"Casual,Free to Play,Massively Multiplayer,Simulation",44
"Casual,Free to Play,Massively Multiplayer,Simulation,Sports",NA
"Casual,Free to Play,Massively Multiplayer,Simulation,Sports,Strategy",NA
"Casual,Free to Play,Massively Multiplayer,Sports",NA
"Casual,Free to Play,Massively Multiplayer,Strategy",36.333333333333336
"Casual,Free to Play,Racing",NA
"Casual,Free to Play,RPG",24
"Casual,Free to Play,RPG,Simulation",62
"Casual,Free to Play,RPG,Simulation,Strategy",NA
"Casual,Free to Play,Simulation",33
"Casual,Free to Play,Simulation,Animation & Modeling,Design & Illustration,Game Development",NA
"Casual,Free to Play,Simulation,Animation & Modeling,Early Access",NA
"Casual,Free to Play,Simulation,Early Access",NA
"Casual,Free to Play,Simulation,Sports",NA
"Casual,Free to Play,Simulation,Strategy",42
"Casual,Free to Play,Sports",7
"Casual,Free to Play,Sports,Strategy",NA
"Casual,Free to Play,Strategy",137.5
"Casual,Free to Play,Strategy,Early Access",14
"Casual,Game Development",NA
"Casual,Indie",106.23096129837703
"Casual,Indie,Action",NA
"Casual,Indie,Action,Adventure",NA
"Casual,Indie,Action,Adventure,RPG",NA
"Casual,Indie,Action,Adventure,Strategy,Simulation",NA
"Casual,Indie,Action,Strategy",NA
"Casual,Indie,Adventure",NA
"Casual,Indie,Adventure,Action",NA
"Casual,Indie,Adventure,Free to Play",NA
"Casual,Indie,Adventure,RPG,Early Access",NA
"Casual,Indie,Adventure,Simulation,Sports",NA
"Casual,Indie,Adventure,Sports,Action,Massively Multiplayer",NA
"Casual,Indie,Animation & Modeling,Design & Illustration,Utilities,Early Access",NA
"Casual,Indie,Audio Production,Early Access",NA
"Casual,Indie,Early Access",20.38888888888889
"Casual,Indie,Education",NA
"Casual,Indie,Massively Multiplayer",6
"Casual,Indie,Massively Multiplayer,Early Access",1
"Casual,Indie,Massively Multiplayer,Racing",11
"Casual,Indie,Massively Multiplayer,RPG,Early Access",66
"Casual,Indie,Massively Multiplayer,Simulation",NA
"Casual,Indie,Massively Multiplayer,Simulation,Sports",NA
"Casual,Indie,Massively Multiplayer,Simulation,Sports,Early Access",12
"Casual,Indie,Massively Multiplayer,Simulation,Sports,Early Access,Strategy",NA
"Casual,Indie,Massively Multiplayer,Simulation,Strategy",NA
"Casual,Indie,Massively Multiplayer,Sports",NA
"Casual,Indie,Massively Multiplayer,Strategy",58.5
"Casual,Indie,Massively Multiplayer,Strategy,Early Access",NA
"Casual,Indie,Racing",29.64516129032258
"Casual,Indie,Racing,Action,Adventure,Early Access",NA
"Casual,Indie,Racing,Adventure",NA
"Casual,Indie,Racing,Adventure,RPG,Action",NA
"Casual,Indie,Racing,Early Access",50
"Casual,Indie,Racing,RPG",NA
"Casual,Indie,Racing,RPG,Simulation,Sports",NA
"Casual,Indie,Racing,RPG,Simulation,Strategy",20
"Casual,Indie,Racing,RPG,Violent,Gore,Audio Production,Utilities,Adventure,Early Access",NA
"Casual,Indie,Racing,Simulation",21
"Casual,Indie,Racing,Simulation,Early Access",NA
"Casual,Indie,Racing,Simulation,Sports",61.333333333333336
"Casual,Indie,Racing,Simulation,Sports,Early Access",10
"Casual,Indie,Racing,Simulation,Strategy",NA
"Casual,Indie,Racing,Sports",18.4
"Casual,Indie,Racing,Sports,Early Access",NA
"Casual,Indie,Racing,Strategy",28
"Casual,Indie,Racing,Strategy,Early Access",NA
"Casual,Indie,RPG",20.545454545454547
"Casual,Indie,RPG,Early Access",NA
"Casual,Indie,RPG,Simulation",47.1578947368421
"Casual,Indie,RPG,Simulation,Action,Adventure",NA
"Casual,Indie,RPG,Simulation,Early Access",27
"Casual,Indie,RPG,Simulation,Sports,Strategy",25
"Casual,Indie,RPG,Simulation,Strategy",38.57142857142857
"Casual,Indie,RPG,Simulation,Strategy,Adventure,Racing",NA
"Casual,Indie,RPG,Simulation,Strategy,Early Access",17
"Casual,Indie,RPG,Simulation,Strategy,Racing",NA
"Casual,Indie,RPG,Strategy",46.53846153846154
"Casual,Indie,RPG,Strategy,Action,Adventure",NA
"Casual,Indie,RPG,Strategy,Action,Early Access",NA
"Casual,Indie,RPG,Strategy,Early Access",80
"Casual,Indie,RPG,Strategy,Free to Play,Early Access",NA
"Casual,Indie,Sexual Content",NA
"Casual,Indie,Simulation",166.731843575419
"Casual,Indie,Simulation,Accounting,Design & Illustration,Software Training,Web Publishing,Documentary,Tutorial",NA
"Casual,Indie,Simulation,Action,Adventure,Free to Play,Racing,RPG",NA
"Casual,Indie,Simulation,Action,Early Access",NA
"Casual,Indie,Simulation,Action,Free to Play,Adventure",NA
"Casual,Indie,Simulation,Action,Sports",NA
"Casual,Indie,Simulation,Adventure",NA
"Casual,Indie,Simulation,Adventure,Action",NA
"Casual,Indie,Simulation,Adventure,Sexual Content",NA
"Casual,Indie,Simulation,Adventure,Strategy",NA
"Casual,Indie,Simulation,Animation & Modeling,Design & Illustration",NA
"Casual,Indie,Simulation,Audio Production,Education,Software Training,Game Development",NA
"Casual,Indie,Simulation,Early Access",31.666666666666668
"Casual,Indie,Simulation,Education",NA
"Casual,Indie,Simulation,Racing",NA
"Casual,Indie,Simulation,RPG",NA
"Casual,Indie,Simulation,Sexual Content",NA
"Casual,Indie,Simulation,Sexual Content,Nudity,RPG,Strategy",NA
"Casual,Indie,Simulation,Sexual Content,Nudity,Violent,Gore,Adventure,RPG",NA
"Casual,Indie,Simulation,Sports",28.11111111111111
"Casual,Indie,Simulation,Sports,Early Access",24
"Casual,Indie,Simulation,Sports,Strategy",34.25
"Casual,Indie,Simulation,Sports,Strategy,Free to Play,Adventure,Action",NA
"Casual,Indie,Simulation,Strategy",336.8876404494382
"Casual,Indie,Simulation,Strategy,Action",NA
"Casual,Indie,Simulation,Strategy,Action,Adventure,Sexual Content",NA
"Casual,Indie,Simulation,Strategy,Early Access",26.6
"Casual,Indie,Simulation,Strategy,Violent",NA
"Casual,Indie,Sports",28.5
"Casual,Indie,Sports,Action,Simulation,Early Access,Strategy",NA
"Casual,Indie,Sports,Early Access",23.22222222222222
"Casual,Indie,Sports,Strategy",28
"Casual,Indie,Sports,Strategy,Action,Adventure,RPG",NA
"Casual,Indie,Sports,Strategy,Early Access",NA
"Casual,Indie,Strategy",288.45726495726495
"Casual,Indie,Strategy,Action",NA
"Casual,Indie,Strategy,Action,Adventure",NA
"Casual,Indie,Strategy,Action,Adventure,Free to Play,Massively Multiplayer,Simulation",NA
"Casual,Indie,Strategy,Adventure",NA
"Casual,Indie,Strategy,Adventure,Action",NA
"Casual,Indie,Strategy,Adventure,RPG",NA
"Casual,Indie,Strategy,Adventure,Simulation",NA
"Casual,Indie,Strategy,Early Access",23.6
"Casual,Indie,Strategy,Early Access,Adventure,Action,Racing,Simulation",NA
"Casual,Indie,Strategy,Sexual Content,Violent,Gore,Adventure",NA
"Casual,Indie,Strategy,Violent,Gore,Free to Play,Action",NA
"Casual,Indie,Utilities",NA
"Casual,Massively Multiplayer,Early Access",4
"Casual,Massively Multiplayer,Simulation",10
"Casual,Massively Multiplayer,Simulation,Strategy",29
"Casual,Racing",26.5
"Casual,Racing,Action,Adventure",NA
"Casual,Racing,Action,Adventure,Indie,Early Access,Simulation,Strategy",NA
"Casual,Racing,Early Access",NA
"Casual,Racing,Simulation",26
"Casual,Racing,Simulation,Early Access",90
"Casual,Racing,Simulation,Free to Play,Indie,Adventure",NA
"Casual,Racing,Simulation,Sports",NA
"Casual,Racing,Sports",21
"Casual,RPG",24
"Casual,RPG,Early Access",3
"Casual,RPG,Indie",NA
"Casual,RPG,Simulation",29.5
"Casual,RPG,Simulation,Strategy",NA
"Casual,RPG,Strategy",NA
"Casual,RPG,Strategy,Early Access",59
"Casual,Simulation",22.43243243243243
"Casual,Simulation,Action,Indie",NA
"Casual,Simulation,Action,Indie,Strategy,Early Access,Adventure",NA
"Casual,Simulation,Adventure,Indie,RPG",NA
"Casual,Simulation,Animation & Modeling,Design & Illustration,Utilities",NA
"Casual,Simulation,Early Access",14.4
"Casual,Simulation,Free to Play",NA
"Casual,Simulation,Indie",NA
"Casual,Simulation,Indie,Strategy",NA
"Casual,Simulation,Sexual Content,Indie",NA
"Casual,Simulation,Sports",34.30769230769231
"Casual,Simulation,Sports,Action,Adventure,Indie,Early Access",NA
"Casual,Simulation,Sports,Early Access",NA
"Casual,Simulation,Sports,Free to Play,Indie,Action",NA
"Casual,Simulation,Sports,Indie",NA
"Casual,Simulation,Sports,Strategy",34
"Casual,Simulation,Strategy",45.53846153846154
"Casual,Simulation,Strategy,Adventure",NA
"Casual,Simulation,Strategy,Adventure,Indie",NA
"Casual,Simulation,Strategy,Early Access",NA
"Casual,Sports",24
"Casual,Sports,Early Access",NA
"Casual,Strategy",236.47826086956522
"Casual,Strategy,Early Access",17
"Casual,Strategy,Indie",NA
"Casual,Strategy,Simulation",NA
"Casual,Strategy,Simulation,Action,Adventure,Indie,Early Access",NA
"Casual,Strategy,Simulation,Early Access",NA
"Casual,Utilities",NA
Design & Illustration,48
"Design & Illustration,Early Access",NA
"Design & Illustration,Education",NA
"Design & Illustration,Education,Photo Editing,Software Training",NA
"Design & Illustration,Education,Photo Editing,Software Training,Utilities",NA
"Design & Illustration,Education,Software Training,Utilities",NA
"Design & Illustration,Education,Software Training,Utilities,Animation & Modeling",NA
"Design & Illustration,Education,Software Training,Utilities,Early Access",NA
"Design & Illustration,Education,Software Training,Utilities,Web Publishing,Game Development",NA
"Design & Illustration,Education,Utilities",NA
"Design & Illustration,Education,Utilities,Early Access",NA
"Design & Illustration,Game Development",NA
"Design & Illustration,Photo Editing",NA
"Design & Illustration,Photo Editing,Software Training,Utilities",NA
"Design & Illustration,Photo Editing,Utilities",NA
"Design & Illustration,Photo Editing,Utilities,Game Development",NA
"Design & Illustration,Photo Editing,Video Production",NA
"Design & Illustration,Photo Editing,Web Publishing",NA
"Design & Illustration,Utilities",11.5
"Design & Illustration,Utilities,Early Access",NA
"Design & Illustration,Utilities,Game Development",NA
"Design & Illustration,Utilities,Game Development,Early Access",NA
"Design & Illustration,Utilities,Web Publishing",17
"Design & Illustration,Utilities,Web Publishing,Game Development",NA
"Design & Illustration,Video Production",NA
"Design & Illustration,Web Publishing",NA
"Design & Illustration,Web Publishing,Game Development",NA
Early Access,15
Education,NA
"Education,Accounting",NA
"Education,Early Access",7
"Education,Game Development",NA
"Education,Software Training",NA
"Education,Software Training,Early Access",NA
"Education,Software Training,Indie,Simulation,Strategy,Action,Early Access",NA
"Education,Software Training,Utilities",NA
"Education,Software Training,Utilities,Video Production",NA
"Education,Software Training,Utilities,Web Publishing,Game Development",12
"Education,Utilities",NA
"Education,Utilities,Game Development,Early Access",NA
"Education,Utilities,Video Production",NA
"Education,Video Production",NA
Free to Play,40.875
"Free to Play,Design & Illustration",NA
"Free to Play,Early Access",NA
"Free to Play,Indie",15
"Free to Play,Indie,Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Web Publishing,Early Access",NA
"Free to Play,Indie,Early Access",9
"Free to Play,Indie,Massively Multiplayer",14
"Free to Play,Indie,Massively Multiplayer,Racing,RPG,Strategy",NA
"Free to Play,Indie,Massively Multiplayer,Racing,Simulation,Sports,Strategy",NA
"Free to Play,Indie,Massively Multiplayer,RPG",39
"Free to Play,Indie,Massively Multiplayer,RPG,Early Access",NA
"Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Strategy",57.5
"Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Strategy,Early Access",NA
"Free to Play,Indie,Massively Multiplayer,RPG,Strategy",324
"Free to Play,Indie,Massively Multiplayer,Simulation,Sports,Strategy",NA
"Free to Play,Indie,Massively Multiplayer,Strategy",36.714285714285715
"Free to Play,Indie,Massively Multiplayer,Strategy,Early Access",NA
"Free to Play,Indie,Racing",NA
"Free to Play,Indie,Racing,Simulation",NA
"Free to Play,Indie,Racing,Simulation,Early Access",NA
"Free to Play,Indie,Racing,Simulation,Sports",NA
"Free to Play,Indie,Racing,Simulation,Sports,Early Access",NA
"Free to Play,Indie,Racing,Sports",9
"Free to Play,Indie,Racing,Strategy",7
"Free to Play,Indie,Racing,Strategy,Action,Adventure",NA
"Free to Play,Indie,RPG",29.666666666666668
"Free to Play,Indie,RPG,Simulation",67
"Free to Play,Indie,RPG,Simulation,Strategy",NA
"Free to Play,Indie,RPG,Strategy",50.75
"Free to Play,Indie,RPG,Strategy,Early Access",NA
"Free to Play,Indie,Simulation",13
"Free to Play,Indie,Simulation,Sports",NA
"Free to Play,Indie,Simulation,Strategy",NA
"Free to Play,Indie,Simulation,Strategy,Early Access",114
"Free to Play,Indie,Sports",NA
"Free to Play,Indie,Sports,Strategy",NA
"Free to Play,Indie,Strategy",26.09090909090909
"Free to Play,Indie,Strategy,Early Access",39.25
"Free to Play,Massively Multiplayer",NA
"Free to Play,Massively Multiplayer,Early Access",NA
"Free to Play,Massively Multiplayer,Racing",13
"Free to Play,Massively Multiplayer,RPG",227.88888888888889
"Free to Play,Massively Multiplayer,RPG,Simulation,Strategy",NA
"Free to Play,Massively Multiplayer,RPG,Strategy",72.5
"Free to Play,Massively Multiplayer,RPG,Strategy,Early Access",NA
"Free to Play,Massively Multiplayer,Simulation",20
"Free to Play,Massively Multiplayer,Simulation,Sports",NA
"Free to Play,Massively Multiplayer,Simulation,Strategy",65.75
"Free to Play,Massively Multiplayer,Sports",30
"Free to Play,Massively Multiplayer,Strategy",53.285714285714285
"Free to Play,Massively Multiplayer,Strategy,Early Access",34.5
"Free to Play,Racing,Simulation,Early Access",40
"Free to Play,Racing,Simulation,Sports",NA
"Free to Play,Racing,Simulation,Sports,Early Access",59
"Free to Play,RPG",23.5
"Free to Play,RPG,Early Access",NA
"Free to Play,RPG,Simulation",35
"Free to Play,RPG,Simulation,Early Access",NA
"Free to Play,RPG,Strategy",32
"Free to Play,RPG,Strategy,Early Access",76
"Free to Play,Simulation",74.33333333333333
"Free to Play,Simulation,Animation & Modeling,Design & Illustration",NA
"Free to Play,Simulation,Animation & Modeling,Design & Illustration,Game Development",NA
"Free to Play,Simulation,Early Access",NA
"Free to Play,Simulation,Sports",225
"Free to Play,Simulation,Strategy",50.75
"Free to Play,Sports",NA
"Free to Play,Sports,Strategy",NA
"Free to Play,Strategy",56.27272727272727
"Free to Play,Strategy,Early Access",18
Game Development,NA
"Gore,Adventure,Indie,Action",NA
"Gore,Adventure,Indie,Strategy,Simulation",NA
HTC,NA
Indie,75.67714285714285
"Indie,Action",NA
"Indie,Action,Adventure",NA
"Indie,Action,Adventure,Casual,RPG",NA
"Indie,Action,Adventure,RPG",NA
"Indie,Adventure",NA
"Indie,Adventure,RPG,Casual,Action",NA
"Indie,Animation & Modeling",NA
"Indie,Audio Production",NA
"Indie,Audio Production,Utilities",10
"Indie,Casual",18.142857142857142
"Indie,Casual,Racing,Action",NA
"Indie,Casual,Strategy,Action,Adventure",NA
"Indie,Early Access",19.545454545454547
"Indie,Early Access,Action,Adventure,Casual,Simulation,RPG",NA
"Indie,Early Access,Sexual Content,Action,Strategy",NA
"Indie,Massively Multiplayer",4
"Indie,Massively Multiplayer,Racing,Simulation",NA
"Indie,Massively Multiplayer,Racing,Simulation,Early Access",13
"Indie,Massively Multiplayer,Racing,Simulation,Sports",NA
"Indie,Massively Multiplayer,RPG",18.2
"Indie,Massively Multiplayer,RPG,Early Access",NA
"Indie,Massively Multiplayer,RPG,Simulation",NA
"Indie,Massively Multiplayer,RPG,Simulation,Strategy",601
"Indie,Massively Multiplayer,RPG,Strategy",37.5
"Indie,Massively Multiplayer,RPG,Strategy,Early Access",1
"Indie,Massively Multiplayer,Simulation",18
"Indie,Massively Multiplayer,Simulation,Early Access",NA
"Indie,Massively Multiplayer,Simulation,Sports,Early Access",NA
"Indie,Massively Multiplayer,Simulation,Strategy",NA
"Indie,Massively Multiplayer,Simulation,Strategy,Early Access",9
"Indie,Massively Multiplayer,Strategy",24
"Indie,Nudity",NA
"Indie,Racing",91.17647058823529
"Indie,Racing,Casual",NA
"Indie,Racing,Early Access",5
"Indie,Racing,RPG,Sports",12
"Indie,Racing,Simulation",25
"Indie,Racing,Simulation,Early Access",30
"Indie,Racing,Simulation,Sports",89.81818181818181
"Indie,Racing,Simulation,Sports,Early Access",NA
"Indie,Racing,Simulation,Sports,Strategy",NA
"Indie,Racing,Simulation,Strategy",NA
"Indie,Racing,Sports",17.1
"Indie,Racing,Sports,Action",NA
"Indie,Racing,Sports,Early Access",NA
"Indie,Racing,Sports,Strategy,Early Access",6
"Indie,Racing,Strategy",20
"Indie,RPG",37.707070707070706
"Indie,RPG,Action",NA
"Indie,RPG,Action,Simulation,Strategy",NA
"Indie,RPG,Adventure",NA
"Indie,RPG,Adventure,Simulation,Strategy",NA
"Indie,RPG,Casual",NA
"Indie,RPG,Early Access",11.25
"Indie,RPG,Simulation",32.333333333333336
"Indie,RPG,Simulation,Early Access",24.333333333333332
"Indie,RPG,Simulation,Early Access,Strategy",NA
"Indie,RPG,Simulation,Sports",NA
"Indie,RPG,Simulation,Sports,Strategy",38
"Indie,RPG,Simulation,Sports,Strategy,Early Access",35
"Indie,RPG,Simulation,Strategy",41.458333333333336
"Indie,RPG,Simulation,Strategy,Adventure",NA
"Indie,RPG,Simulation,Strategy,Casual",NA
"Indie,RPG,Simulation,Strategy,Early Access",68.75
"Indie,RPG,Sports,Strategy",45
"Indie,RPG,Sports,Strategy,Early Access",24
"Indie,RPG,Strategy",39.57142857142857
"Indie,RPG,Strategy,Action,Adventure,Casual",NA
"Indie,RPG,Strategy,Action,Adventure,Casual,Simulation",NA
"Indie,RPG,Strategy,Action,Simulation,Early Access,Adventure",NA
"Indie,RPG,Strategy,Adventure",NA
"Indie,RPG,Strategy,Adventure,Action",NA
"Indie,RPG,Strategy,Adventure,Simulation",NA
"Indie,RPG,Strategy,Casual",NA
"Indie,RPG,Strategy,Casual,Adventure",NA
"Indie,RPG,Strategy,Early Access",33.125
"Indie,RPG,Strategy,Early Access,Action,Adventure,Casual,Racing,Sports,Nudity,Simulation,Violent,Gore",NA
"Indie,RPG,Strategy,Simulation",NA
"Indie,RPG,Strategy,Simulation,Action",NA
"Indie,Simulation",26.990291262135923
"Indie,Simulation,Action",NA
"Indie,Simulation,Action,Adventure,Casual,RPG,Violent,Racing,Sports",NA
"Indie,Simulation,Action,Casual,Sports",NA
"Indie,Simulation,Action,Early Access",NA
"Indie,Simulation,Action,Strategy",NA
"Indie,Simulation,Adventure",NA
"Indie,Simulation,Adventure,Casual,Strategy",NA
"Indie,Simulation,Adventure,Strategy",NA
"Indie,Simulation,Audio Production,Early Access",8
"Indie,Simulation,Casual",NA
