genre,genre_achievements_mean
"Action,Adventure,Casual,Simulation,Sports,Strategy,Early Access",17
"Action,Adventure,Casual,Simulation,Strategy",NA
"Action,Adventure,Casual,Simulation,Strategy,Early Access",NA
"Action,Adventure,Casual,Sports",NA
"Action,Adventure,Casual,Sports,Strategy,Early Access",NA
"Action,Adventure,Casual,Strategy",140
"Action,Adventure,Casual,Strategy,Early Access",2
"Action,Adventure,Early Access",16.6
"Action,Adventure,Early Access,Indie,Strategy",NA
"Action,Adventure,Free to Play",26.666666666666668
"Action,Adventure,Free to Play,Early Access",NA
"Action,Adventure,Free to Play,Indie",12.933333333333334
"Action,Adventure,Free to Play,Indie,Early Access",52
"Action,Adventure,Free to Play,Indie,Massively Multiplayer",NA
"Action,Adventure,Free to Play,Indie,Massively Multiplayer,Early Access",6
"Action,Adventure,Free to Play,Indie,Massively Multiplayer,Racing,RPG,Strategy,Early Access",NA
"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG",75
"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Early Access",26
"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Strategy",NA
"Action,Adventure,Free to Play,Indie,Massively Multiplayer,Strategy,Early Access",NA
"Action,Adventure,Free to Play,Indie,RPG",25.333333333333332
"Action,Adventure,Free to Play,Indie,RPG,Early Access",NA
"Action,Adventure,Free to Play,Indie,RPG,Simulation",52
"Action,Adventure,Free to Play,Indie,RPG,Simulation,Strategy",NA
"Action,Adventure,Free to Play,Indie,RPG,Strategy",NA
"Action,Adventure,Free to Play,Indie,Simulation",NA
"Action,Adventure,Free to Play,Indie,Simulation,Strategy",NA
"Action,Adventure,Free to Play,Indie,Strategy",4
"Action,Adventure,Free to Play,Indie,Strategy,Early Access",139
"Action,Adventure,Free to Play,Massively Multiplayer",67
"Action,Adventure,Free to Play,Massively Multiplayer,Early Access",NA
"Action,Adventure,Free to Play,Massively Multiplayer,RPG",72.75
"Action,Adventure,Free to Play,Massively Multiplayer,RPG,Early Access",NA
"Action,Adventure,Free to Play,Massively Multiplayer,RPG,Simulation",NA
"Action,Adventure,Free to Play,Massively Multiplayer,RPG,Strategy",29
"Action,Adventure,Free to Play,Racing,Sports,Early Access",7
"Action,Adventure,Free to Play,RPG",NA
"Action,Adventure,Free to Play,RPG,Early Access",NA
"Action,Adventure,Free to Play,RPG,Simulation",NA
"Action,Adventure,Free to Play,RPG,Strategy,Early Access",NA
"Action,Adventure,Free to Play,Simulation",NA
"Action,Adventure,Free to Play,Simulation,Sports",159
"Action,Adventure,Free to Play,Sports,Strategy",NA
"Action,Adventure,Free to Play,Strategy",NA
"Action,Adventure,Free to Play,Violent,Indie",NA
"Action,Adventure,Indie",32.27653631284916
"Action,Adventure,Indie,Casual",NA
"Action,Adventure,Indie,Casual,Early Access",NA
"Action,Adventure,Indie,Casual,Simulation",NA
